episode,steps,return
1,200,-533
2,200,-551
3,200,-497
4,200,-569
5,200,-587
6,200,-551
7,200,-344
8,200,-416
9,200,-344
10,200,-470
11,200,-263
12,200,-569
13,200,-506
14,200,-596
15,200,-407
16,200,-479
17,200,-227
18,200,-245
19,200,-452
20,200,-587
21,200,-470
22,200,-353
23,200,-407
24,150,-192
25,200,-299
26,200,-236
27,200,-263
28,200,-308
29,200,-524
30,200,-587
31,142,-175
32,200,-299
33,200,-245
34,188,-284
35,200,-218
36,200,-632
37,200,-326
38,200,-272
39,200,-596
40,200,-263
41,200,-362
42,200,-245
43,200,-326
44,200,-308
45,200,-254
46,200,-317
47,200,-281
48,200,-407
49,200,-227
50,104,-182
51,200,-245
52,200,-227
53,200,-272
54,200,-263
55,178,-265
56,200,-272
57,200,-272
58,186,-228
59,200,-344
60,71,-77
61,102,-126
62,200,-281
63,200,-281
64,200,-344
65,200,-308
66,200,-371
67,200,-326
68,200,-380
69,156,-171
70,200,-308
71,200,-272
72,200,-227
73,200,-272
74,200,-218
75,200,-371
76,200,-227
77,200,-308
78,200,-272
79,200,-236
80,200,-335
81,200,-317
82,200,-245
83,150,-156
84,200,-344
85,200,-308
86,186,-255
87,200,-290
88,200,-236
89,200,-218
90,200,-254
91,200,-272
92,200,-254
93,200,-272
94,200,-299
95,200,-308
96,200,-263
97,200,-290
98,200,-236
99,200,-263
100,200,-335
101,200,-362
102,200,-371
103,200,-362
104,177,-228
105,200,-380
106,200,-452
107,200,-299
108,200,-272
109,106,-103
110,200,-272
111,200,-290
112,200,-299
113,200,-299
114,178,-274
115,200,-353
116,200,-245
117,200,-353
118,97,-94
119,200,-326
120,200,-398
121,79,-85
122,200,-281
123,200,-326
124,200,-290
125,200,-272
126,92,-71
127,23,-2
128,109,-151
129,200,-272
130,200,-272
131,200,-254
132,200,-299
133,200,-281
134,200,-254
135,200,-263
136,200,-308
137,200,-254
138,200,-326
139,200,-281
140,180,-285
141,200,-272
142,200,-317
143,200,-290
144,200,-317
145,200,-245
146,200,-380
147,200,-308
148,200,-254
149,200,-245
150,200,-317
151,200,-326
152,200,-299
153,200,-263
154,200,-290
155,200,-263
156,200,-245
157,200,-371
158,200,-254
159,200,-272
160,200,-290
161,200,-245
162,200,-299
163,200,-281
164,200,-272
165,200,-317
166,31,-10
167,200,-299
168,200,-263
169,200,-299
170,200,-317
171,200,-353
172,200,-272
173,200,-389
174,200,-227
175,200,-299
176,200,-317
177,200,-308
178,200,-326
179,200,-272
180,200,-299
181,200,-416
182,200,-281
183,200,-290
184,200,-290
185,200,-290
186,41,-38
187,200,-245
188,56,-44
189,200,-317
190,18,-6
191,200,-272
192,101,-107
193,200,-281
194,200,-308
195,200,-272
196,200,-263
197,200,-290
198,200,-281
199,200,-317
200,200,-299
201,200,-272
202,122,-128
203,200,-272
204,200,-299
205,200,-353
206,94,-100
207,200,-254
208,200,-236
209,200,-254
210,200,-344
211,200,-272
212,12,9
213,200,-272
214,200,-236
215,200,-335
216,200,-263
217,200,-353
218,200,-290
219,200,-254
220,200,-326
221,200,-236
222,200,-335
223,200,-308
224,200,-236
225,200,-308
226,200,-299
227,200,-263
228,200,-326
229,200,-245
230,200,-353
231,200,-317
232,200,-245
233,200,-254
234,22,-10
235,60,-75
236,193,-235
237,200,-344
238,200,-362
239,191,-341
240,200,-272
241,200,-272
242,200,-272
243,200,-281
244,200,-227
245,200,-299
246,200,-254
247,200,-290
248,200,-317
249,200,-245
250,200,-290
251,141,-165
252,200,-254
253,200,-263
254,180,-213
255,200,-299
256,200,-272
257,200,-272
258,200,-326
259,200,-272
260,200,-272
261,200,-362
262,200,-263
263,200,-263
264,200,-299
265,200,-254
266,200,-299
267,200,-290
268,62,-59
269,147,-216
270,200,-272
271,200,-326
272,200,-299
273,200,-326
274,119,-161
275,200,-281
276,200,-245
277,200,-272
278,200,-308
279,187,-220
280,200,-299
281,200,-299
282,200,-326
283,200,-344
284,200,-281
285,144,-195
286,200,-272
287,200,-380
288,200,-281
289,200,-290
290,187,-265
291,200,-281
292,200,-272
293,200,-389
294,200,-290
295,200,-299
296,200,-335
297,200,-335
298,85,-100
299,200,-290
300,200,-245
301,200,-263
302,200,-362
303,200,-263
304,200,-272
305,200,-290
306,200,-308
307,200,-263
308,70,-94
309,170,-185
310,200,-272
311,200,-326
312,200,-317
313,200,-317
314,200,-335
315,200,-317
316,200,-263
317,200,-272
318,200,-389
319,200,-326
320,171,-231
321,200,-263
322,200,-254
323,200,-236
324,200,-281
325,200,-254
326,200,-290
327,200,-317
328,200,-272
329,200,-317
330,200,-299
331,200,-308
332,200,-254
333,131,-173
334,200,-308
335,46,-52
336,74,-62
337,200,-263
338,200,-272
339,89,-77
340,200,-272
341,200,-290
342,200,-290
343,200,-236
344,200,-308
345,185,-200
346,200,-254
347,200,-263
348,200,-272
349,112,-118
350,200,-245
