episode,steps,return
459,17,4
460,8,13
461,152,-203
462,93,-117
463,118,-124
464,53,-59
465,68,-65
466,35,-14
467,8,13
468,16,-4
469,200,-299
470,8,4
471,56,-53
472,66,-63
473,83,-80
474,53,-50
475,52,-40
476,50,-38
477,153,-177
478,117,-168
479,24,-21
480,87,-120
481,17,4
482,98,-131
483,31,-10
484,10,11
485,53,-41
486,82,-70
487,185,-191
488,17,4
489,93,-81
490,68,-74
491,58,-46
492,21,-18
493,78,-111
494,13,-10
495,72,-123
496,63,-69
497,78,-84
498,26,-23
499,118,-151
500,23,-11
501,200,-272
502,125,-158
503,23,-2
504,44,-32
505,80,-77
506,54,-33
507,115,-148
508,126,-159
509,78,-93
510,100,-124
511,90,-87
512,29,-17
513,74,-71
514,53,-41
515,96,-120
516,124,-148
517,15,6
518,63,-69
519,31,-19
520,40,-28
521,84,-99
522,14,7
523,25,-13
524,49,-28
525,62,-59
526,10,11
527,103,-136
528,138,-171
529,86,-119
530,16,5
531,60,-48
532,39,-27
533,68,-83
534,66,-54
535,81,-123
536,35,-32
537,54,-60
538,7,14
539,192,-243
540,114,-138
541,94,-118
542,42,-39
543,25,-13
544,8,13
545,31,-10
546,12,9
547,54,-33
548,28,-25
549,32,-11
550,63,-51
551,44,-41
552,143,-185
553,200,-308
554,89,-86
555,11,10
556,33,-21
557,156,-198
558,56,-62
559,17,4
560,44,-23
561,91,-97
562,90,-87
563,42,-39
564,86,-74
565,21,-9
566,125,-131
567,68,-83
568,82,-97
569,49,-37
570,18,3
571,66,-45
572,88,-103
573,12,0
574,37,-16
575,84,-81
576,28,-16
577,41,-47
578,59,-56
579,37,-25
580,180,-195
581,9,12
582,98,-113
583,125,-158
584,78,-93
585,20,1
586,97,-130
587,51,-30
588,44,-23
589,51,-48
590,73,-70
591,69,-75
592,199,-241
593,47,-35
594,12,0
595,97,-112
596,23,-2
597,24,-3
598,23,-38
599,55,-52
600,9,12
601,13,8
602,79,-85
603,133,-166
604,116,-122
605,13,8
606,102,-99
607,32,-47
608,111,-135
609,31,-19
610,16,-4
611,192,-243
612,25,-13
613,36,-24
614,15,6
615,53,-32
616,10,2
617,52,-49
618,59,-65
619,53,-41
620,11,10
621,90,-87
622,8,13
623,65,-62
624,31,-19
625,58,-64
626,59,-65
627,47,-35
628,62,-59
629,87,-111
630,34,-13
631,9,12
632,94,-109
633,52,-31
634,137,-152
635,59,-65
636,44,-32
637,13,-1
638,72,-69
639,10,11
640,12,-9
641,27,-6
642,9,12
643,154,-160
644,10,11
645,15,6
646,11,10
647,24,-3
648,42,-39
649,74,-62
650,53,-50
651,64,-61
652,34,-31
653,33,-21
654,100,-115
655,125,-140
656,48,-36
657,94,-91
658,66,-81
659,80,-77
660,61,-58
661,12,0
662,36,-15
663,98,-104
664,52,-58
665,64,-70
666,19,2
667,37,-16
668,66,-81
669,35,-32
670,11,10
671,63,-69
672,18,3
673,55,-52
674,92,-98
675,13,8
676,47,-44
677,158,-182
678,25,-13
679,11,10
680,23,-2
681,23,-20
682,18,3
683,12,9
684,17,4
685,11,10
686,72,-78
687,18,3
688,25,-13
689,8,13
690,11,1
691,44,-32
692,64,-70
693,12,9
694,40,-19
695,119,-143
696,33,-30
697,10,11
698,23,-2
699,15,-30
700,150,-165
701,71,-50
702,10,2
703,16,-4
704,38,-26
705,11,10
706,103,-127
707,9,12
708,74,-98
709,12,9
710,26,-14
711,58,-64
712,14,7
713,83,-98
714,55,-43
715,59,-38
716,110,-125
717,29,-8
718,151,-184
719,12,-9
720,35,-23
721,11,-8
722,27,-6
723,73,-52
724,103,-118
725,138,-162
726,33,-21
727,111,-135
728,27,-15
729,11,10
730,31,-37
731,33,-39
732,10,11
733,11,1
734,38,-53
735,72,-51
736,40,-28
737,15,-3
738,32,-29
739,30,-9
740,11,10
741,67,-55
742,13,8
743,9,12
744,10,11
745,23,-2
746,25,-13
747,13,8
748,18,3
749,38,-35
750,76,-82
751,11,1
752,81,-105
753,70,-76
754,11,1
755,9,12
756,12,9
757,34,-31
758,38,-35
759,50,-38
760,12,9
761,57,-45
762,12,9
763,87,-84
764,18,-6
765,31,-19
766,13,8
767,13,8
768,25,-22
769,78,-84
770,27,-15
771,39,-18
772,14,-2
773,52,-49
774,22,-10
775,75,-72
776,27,-24
777,28,-25
778,24,-12
779,21,0
780,21,-9
781,74,-89
782,21,0
783,29,-8
784,27,-15
785,42,-30
786,12,0
787,11,10
788,9,12
789,7,14
790,10,11
791,114,-129
792,14,7
793,32,-20
794,67,-55
795,14,7
796,27,-6
797,16,-4
798,59,-56
799,10,2
800,11,10
801,54,-33
802,33,-21
803,144,-213
804,49,-46
805,66,-63
806,97,-121
807,73,-61
808,38,-35
809,42,-30
810,29,-17
811,19,-16
812,55,-43
813,155,-179
814,8,13
815,24,-12
816,47,-44
817,64,-79
818,18,-24
819,33,-30
820,73,-106
821,15,6
822,35,-32
823,29,-8
824,16,5
825,61,-67
826,57,-36
827,12,9
828,24,-12
829,31,-28
830,11,1
831,24,-3
832,49,-46
833,27,-6
834,30,-36
835,60,-48
836,11,1
837,85,-64
838,15,-3
839,33,-12
840,26,-23
841,28,-16
842,12,9
843,20,1
844,49,-55
845,36,-33
846,22,-1
847,9,12
848,25,-13
849,31,-19
850,7,14
851,18,-33
852,65,-80
853,16,-4
854,32,-11
855,21,0
856,26,-5
857,46,-52
858,6,15
859,56,-44
860,12,9
861,80,-86
862,72,-87
863,12,9
864,18,-6
865,36,-24
866,28,-7
867,14,7
868,40,-19
869,33,-12
870,19,2
871,12,9
872,24,-3
873,11,1
874,53,-86
875,51,-39
876,10,11
877,14,-2
878,98,-113
879,29,-17
880,14,7
881,56,-44
882,14,7
883,16,-13
884,24,-3
885,31,-19
886,22,-10
887,61,-85
888,39,-45
889,82,-124
890,42,-21
891,28,-7
892,70,-76
893,29,-17
894,51,-57
895,12,0
896,92,-80
897,7,14
898,13,8
899,11,10
900,88,-76
901,109,-97
902,13,8
903,33,-21
904,28,-7
905,8,13
906,24,-21
907,10,11
908,64,-79
909,18,-6
910,15,6
911,12,9
912,12,0
913,8,4
914,15,-3
915,95,-92
916,70,-76
917,19,2
918,35,-23
919,34,-31
920,14,7
921,24,-12
922,10,2
923,46,-25
924,13,8
925,13,-1
926,10,11
927,26,-5
928,77,-83
929,19,2
930,18,-6
931,9,3
932,33,-30
933,12,9
934,17,-5
935,62,-50
936,9,12
937,13,-1
938,57,-72
939,17,4
940,21,0
941,13,-1
942,20,1
943,16,-4
944,10,11
945,9,12
946,13,-10
947,34,-22
948,23,-2
949,26,-14
950,27,-6
951,19,-25
952,13,8
953,18,3
954,27,-24
955,72,-96
956,13,8
957,10,11
958,17,-5
959,49,-28
960,28,-16
961,42,-30
962,10,11
963,63,-60
964,9,12
965,24,-30
966,56,-44
967,67,-91
968,12,9
969,11,10
970,47,-53
971,9,12
972,24,-12
973,15,-3
974,13,-1
975,15,6
976,10,11
977,29,-17
978,9,12
979,14,-2
980,14,-2
981,14,7
982,79,-76
983,7,5
984,11,1
985,17,4
986,71,-113
987,39,-36
988,27,-6
989,37,-43
990,17,-14
991,12,0
992,17,-5
993,20,1
994,14,7
995,45,-24
996,49,-37
997,38,-35
998,35,-32
999,18,3
1000,14,7
1001,81,-123
1002,40,-46
1003,35,-14
1004,38,-17
1005,9,12
1006,34,-22
1007,31,-37
1008,15,-3
1009,27,-24
1010,38,-62
1011,12,9
1012,18,-6
1013,11,10
1014,52,-49
1015,14,7
1016,8,13
1017,25,-4
1018,43,-31
1019,38,-35
1020,24,-3
1021,27,-6
1022,36,-24
1023,10,11
1024,39,-18
1025,57,-36
1026,49,-37
1027,8,13
1028,25,-13
1029,14,-2
1030,14,7
1031,14,7
1032,14,-2
1033,53,-41
1034,61,-94
1035,61,-40
1036,53,-50
1037,30,-9
1038,29,-26
1039,17,4
1040,15,6
1041,8,13
1042,24,-12
1043,40,-19
1044,29,-17
1045,12,9
1046,44,-32
1047,9,12
1048,26,-14
1049,29,-17
1050,11,10
1051,87,-111
1052,17,4
1053,9,12
1054,37,-34
1055,9,12
1056,12,9
1057,18,-6
1058,20,-8
1059,30,-9
1060,59,-56
1061,18,-15
1062,39,-45
1063,38,-26
1064,50,-29
1065,21,-9
1066,17,-23
1067,20,1
1068,14,-2
1069,25,-13
1070,25,-40
1071,16,-4
1072,36,-42
1073,15,6
1074,36,-15
1075,13,-1
1076,8,13
1077,17,-14
1078,29,-35
1079,17,-5
1080,10,11
1081,29,-8
1082,19,2
1083,18,-6
1084,9,12
1085,12,9
1086,21,0
1087,10,11
1088,13,8
1089,11,1
1090,26,-5
1091,12,9
1092,39,-27
1093,15,-3
1094,15,6
1095,20,-8
1096,17,4
1097,10,11
1098,14,7
1099,9,3
1100,10,11
1101,35,-32
1102,53,-59
1103,15,-3
1104,61,-49
1105,33,-48
1106,9,12
1107,12,9
1108,16,5
1109,13,-1
1110,17,4
1111,10,11
1112,12,9
1113,8,13
1114,24,-3
1115,52,-49
1116,16,5
1117,24,-3
1118,20,-8
1119,15,-3
1120,13,8
1121,18,3
1122,18,3
1123,19,2
1124,21,0
1125,33,-12
1126,25,-13
1127,11,1
1128,24,-21
1129,22,-1
1130,31,-10
1131,7,14
1132,12,9
1133,21,0
1134,15,-3
1135,81,-60
1136,14,7
1137,10,11
1138,12,0
1139,12,9
1140,16,5
1141,13,8
1142,10,11
1143,14,-2
1144,18,-6
1145,12,9
1146,19,-7
1147,22,-10
1148,19,-7
1149,33,-21
1150,23,-11
1151,14,7
1152,15,-12
1153,11,1
1154,12,9
1155,27,-15
1156,15,6
1157,17,4
1158,9,12
1159,11,10
1160,8,13
1161,14,7
1162,13,8
1163,20,-8
1164,14,-2
1165,10,11
1166,15,-3
1167,15,6
1168,13,-1
1169,9,12
1170,12,9
1171,20,1
1172,41,-38
1173,18,3
1174,14,-2
1175,14,7
1176,10,11
1177,17,4
1178,14,-11
1179,23,-11
1180,11,10
1181,12,0
1182,17,-5
1183,12,9
1184,14,7
1185,15,-3
1186,15,6
1187,18,-6
1188,17,4
1189,10,11
1190,22,-10
1191,12,9
1192,23,-11
1193,11,10
1194,7,14
1195,11,1
1196,22,-1
1197,19,-7
1198,31,-19
1199,23,-2
1200,9,12
1201,11,10
1202,17,-5
1203,24,-3
1204,8,4
1205,13,8
1206,18,3
1207,10,11
1208,15,-3
1209,13,8
1210,17,4
1211,12,9
1212,21,0
1213,7,14
1214,15,6
1215,21,-9
1216,15,6
1217,6,15
1218,17,4
1219,23,-11
1220,32,-38
1221,14,7
1222,16,-4
1223,12,9
1224,11,10
1225,52,-67
1226,57,-45
1227,13,8
1228,10,2
1229,17,-5
1230,17,4
1231,20,-8
1232,12,9
1233,12,9
1234,9,12
1235,9,12
1236,18,3
1237,12,9
1238,7,14
1239,27,-6
1240,12,9
1241,19,2
1242,41,-20
1243,60,-84
1244,11,10
1245,30,-9
1246,10,11
1247,29,-8
1248,20,-8
1249,23,-11
1250,14,7
1251,11,10
1252,6,15
1253,13,8
1254,25,-4
1255,13,8
1256,13,8
1257,13,8
1258,17,-14
1259,20,1
1260,13,8
1261,13,8
1262,18,-6
1263,10,11
1264,52,-40
1265,18,3
1266,17,4
1267,30,-18
1268,10,11
1269,12,9
1270,48,-45
1271,18,3
1272,16,5
1273,24,-3
1274,12,9
1275,22,-10
1276,17,4
1277,15,6
1278,18,3
1279,24,-3
1280,18,3
1281,18,3
1282,14,-11
1283,8,13
1284,12,9
1285,26,-14
1286,8,13
1287,11,10
1288,11,10
1289,16,5
1290,37,-34
1291,12,0
1292,20,1
1293,13,-10
1294,17,-5
1295,20,-17
1296,33,-30
1297,22,-10
1298,13,-1
1299,13,8
1300,10,11
1301,52,-31
1302,24,-21
1303,24,-3
1304,14,7
1305,16,5
1306,29,-26
1307,13,8
1308,20,-8
1309,14,-2
1310,26,-23
1311,9,12
1312,14,7
1313,67,-46
1314,15,6
1315,23,-29
1316,27,-15
1317,12,9
1318,13,-10
1319,15,6
1320,30,-18
1321,12,9
1322,10,11
1323,9,12
1324,25,-4
1325,8,13
1326,15,6
1327,21,0
1328,12,9
1329,12,9
1330,38,-17
1331,8,13
1332,30,-18
1333,12,0
1334,10,11
1335,9,12
1336,15,6
1337,11,1
1338,23,-2
