episode,steps,return
1,200,-551
2,200,-623
3,200,-407
4,200,-569
5,200,-542
6,200,-569
7,200,-362
8,200,-470
9,200,-497
10,200,-542
11,200,-407
12,200,-308
13,200,-605
14,200,-551
15,200,-497
16,200,-353
17,200,-272
18,200,-362
19,200,-407
20,200,-641
21,200,-425
22,200,-389
23,200,-407
24,127,-304
25,200,-551
26,200,-335
27,200,-335
28,200,-308
29,200,-371
30,200,-587
31,200,-353
32,200,-353
33,200,-308
34,171,-213
35,200,-317
36,200,-596
37,200,-380
38,200,-317
39,200,-542
40,200,-281
41,200,-479
42,114,-228
43,200,-281
44,116,-131
45,200,-344
46,200,-353
47,200,-407
48,118,-205
49,200,-317
50,200,-380
51,200,-317
52,200,-281
53,200,-443
54,135,-438
55,200,-317
56,200,-317
57,200,-371
58,105,-174
59,200,-371
60,200,-398
61,200,-290
62,200,-362
63,200,-290
64,200,-371
65,200,-299
66,200,-335
67,200,-344
68,94,-136
69,200,-308
70,150,-237
71,184,-262
72,200,-254
73,129,-189
74,200,-416
75,200,-335
76,200,-317
77,138,-243
78,200,-290
79,200,-254
80,200,-308
81,200,-371
82,200,-272
83,200,-272
84,108,-141
85,200,-407
86,200,-452
87,200,-335
88,200,-326
89,200,-416
90,138,-225
91,200,-371
92,200,-272
93,200,-290
94,200,-407
95,200,-281
96,175,-226
97,200,-308
98,200,-317
99,200,-335
100,187,-292
101,200,-389
102,200,-317
103,200,-344
104,47,-44
105,200,-281
106,132,-219
107,200,-362
108,19,2
109,136,-178
110,200,-317
111,200,-317
112,177,-282
113,200,-371
114,76,-100
115,200,-335
116,200,-290
117,200,-326
118,129,-189
119,59,-56
120,200,-398
121,200,-299
122,200,-335
123,65,-80
124,200,-335
125,120,-171
126,200,-308
127,200,-371
128,200,-452
129,200,-353
130,200,-380
131,200,-335
132,200,-290
133,136,-214
134,200,-344
135,68,-65
136,200,-290
137,200,-353
138,93,-117
139,200,-326
140,200,-308
141,200,-407
142,200,-308
143,158,-290
144,200,-254
145,200,-326
146,196,-292
147,168,-282
148,200,-335
149,56,-53
150,115,-202
151,200,-344
152,200,-317
153,200,-326
154,200,-353
155,200,-326
156,200,-317
157,53,-77
158,200,-335
159,136,-169
160,200,-308
161,85,-127
162,200,-326
163,200,-290
164,200,-389
165,180,-249
166,38,-26
167,200,-317
168,200,-290
169,200,-299
170,149,-245
171,200,-308
172,183,-234
173,131,-182
174,200,-371
175,200,-344
176,169,-292
177,200,-290
178,200,-317
179,200,-308
180,101,-134
181,200,-344
182,200,-317
183,59,-56
184,200,-236
185,200,-353
186,56,-62
187,200,-371
188,49,-73
189,200,-281
190,26,-14
191,122,-236
192,60,-84
193,140,-218
194,60,-66
195,200,-326
196,50,-47
197,200,-326
198,188,-302
199,55,-79
200,65,-89
201,137,-170
202,90,-141
203,200,-380
204,200,-290
205,80,-113
206,58,-82
207,200,-317
208,114,-156
209,200,-353
210,200,-308
211,159,-246
212,200,-308
213,56,-62
214,149,-281
215,197,-320
216,43,-85
217,200,-380
218,150,-237
219,200,-335
220,110,-161
221,28,-7
222,200,-353
223,76,-91
224,38,-53
225,53,-41
226,200,-353
227,200,-335
228,200,-290
229,200,-344
230,173,-260
231,49,-46
232,99,-177
233,200,-317
234,9,12
235,200,-398
236,109,-133
237,170,-239
238,150,-201
239,64,-88
240,200,-299
241,200,-353
242,200,-353
243,52,-67
244,126,-168
245,194,-254
246,200,-326
247,99,-168
248,189,-258
249,51,-48
250,173,-287
251,96,-129
252,125,-185
253,36,-42
254,124,-157
255,38,-53
256,200,-353
257,200,-290
258,110,-143
259,200,-353
260,66,-81
261,200,-362
262,168,-246
263,74,-62
264,162,-231
265,170,-275
266,108,-150
267,160,-265
268,200,-326
269,176,-227
270,200,-308
271,200,-308
272,121,-118
273,200,-317
274,147,-261
275,54,-78
276,45,-24
277,163,-286
278,200,-326
279,200,-371
280,200,-281
281,200,-290
282,33,-39
283,142,-247
284,41,-47
285,90,-168
286,200,-344
287,180,-285
288,108,-141
289,18,-15
290,33,-39
291,200,-299
292,88,-85
293,200,-335
294,200,-335
295,126,-204
296,31,-28
297,186,-264
298,197,-311
299,114,-156
300,200,-299
301,200,-362
302,59,-83
303,63,-60
304,94,-127
305,195,-264
306,168,-291
307,83,-116
308,78,-102
309,197,-347
310,200,-335
311,200,-335
312,125,-194
313,68,-65
314,129,-207
315,200,-308
316,100,-178
317,12,0
318,172,-250
319,144,-177
320,197,-302
321,130,-199
322,116,-158
323,107,-167
324,90,-141
325,52,-67
326,181,-214
327,122,-245
328,140,-272
329,55,-61
330,75,-108
331,194,-254
332,114,-183
333,46,-52
334,64,-106
335,50,-56
336,188,-284
337,192,-324
338,86,-110
339,171,-168
340,167,-272
341,140,-209
342,32,-11
343,133,-211
344,97,-85
345,37,-43
346,200,-335
347,39,-63
348,197,-257
349,6,15
350,196,-283
351,80,-86
352,48,-36
353,61,-76
354,107,-113
355,69,-75
356,23,-11
357,115,-166
358,102,-135
359,96,-111
360,106,-112
361,19,-7
362,97,-112
363,193,-271
364,93,-126
365,76,-100
366,54,-42
367,77,-119
368,171,-258
369,75,-117
370,122,-182
371,10,11
372,27,-24
373,180,-303
374,21,0
375,12,0
376,200,-281
377,65,-62
378,76,-136
379,129,-189
380,152,-212
381,64,-97
382,200,-326
383,151,-211
384,74,-80
385,83,-125
386,133,-175
387,20,-8
388,151,-229
389,106,-139
390,99,-132
391,173,-224
392,200,-308
393,116,-203
394,168,-237
395,15,-3
396,77,-110
397,67,-91
398,41,-56
399,8,13
400,200,-290
401,128,-197
402,52,-49
403,50,-38
404,185,-281
405,161,-239
406,79,-103
407,64,-88
408,101,-107
409,114,-165
410,15,6
411,200,-389
412,182,-233
413,107,-149
414,24,-12
415,38,-44
416,177,-237
417,117,-177
418,48,-45
419,95,-110
420,142,-229
421,32,-20
422,32,-38
423,107,-131
424,173,-269
425,141,-183
426,14,-11
427,75,-144
428,12,0
429,159,-237
430,77,-119
431,42,-48
432,39,-27
433,61,-85
434,38,-26
435,187,-310
436,86,-119
437,85,-109
438,26,-23
439,177,-246
440,84,-117
441,157,-217
442,116,-194
443,65,-89
444,121,-127
445,85,-136
446,90,-114
447,144,-168
448,34,-13
449,118,-160
450,182,-251
451,200,-281
452,164,-224
453,84,-99
454,33,-21
455,36,-60
456,69,-66
457,85,-100
458,191,-296
459,30,-18
460,16,5
461,137,-170
462,137,-224
463,110,-125
464,65,-89
465,94,-154
466,111,-180
467,15,-3
468,39,-45
469,200,-353
470,8,4
471,85,-100
472,60,-93
473,20,1
474,88,-166
475,57,-81
476,173,-251
477,167,-200
478,165,-234
479,60,-120
480,107,-140
481,19,-7
482,40,-46
483,75,-72
484,17,4
485,95,-155
486,37,-16
487,180,-249
488,62,-50
489,108,-204
490,51,-48
491,37,-34
492,100,-133
493,85,-136
494,8,13
495,30,-45
496,47,-62
497,94,-109
498,50,-47
499,59,-92
500,28,-16
501,162,-213
502,65,-134
503,155,-233
504,29,-17
505,164,-233
506,22,-10
507,50,-29
508,75,-117
509,89,-131
510,200,-326
511,186,-264
512,15,-3
513,89,-104
514,80,-149
515,92,-143
516,53,-86
517,12,9
518,45,-87
519,47,-80
520,67,-82
521,51,-57
522,14,-11
523,86,-155
524,38,-53
525,46,-43
526,16,5
527,49,-64
528,76,-118
529,24,-21
530,22,-19
531,39,-45
532,23,-20
533,16,5
534,132,-156
535,82,-115
536,53,-32
537,61,-103
538,10,2
539,187,-337
540,75,-99
541,158,-191
542,172,-268
543,135,-186
544,8,13
545,16,5
546,20,-8
547,62,-104
548,26,-32
549,54,-60
550,73,-97
551,39,-27
552,200,-263
553,31,-28
554,44,-77
555,10,11
556,73,-70
557,127,-151
558,164,-224
559,140,-182
560,96,-129
561,35,-23
562,134,-275
563,22,-10
564,42,-66
565,32,-29
566,98,-122
567,46,-70
568,135,-213
569,40,-55
570,33,-48
571,48,-45
572,91,-115
573,12,9
574,118,-187
575,57,-63
576,43,-40
577,23,-2
578,47,-35
579,54,-60
580,135,-150
581,8,4
582,103,-145
583,131,-164
584,124,-184
585,17,4
586,49,-46
587,117,-177
588,52,-76
