episode,steps,return
457,121,-226
458,172,-295
459,13,-19
460,16,-13
461,99,-186
462,132,-246
463,56,-71
464,22,-19
465,84,-153
466,119,-233
467,14,7
468,57,-81
469,200,-434
470,7,14
471,42,-66
472,157,-271
473,74,-125
474,49,-64
475,82,-106
476,89,-122
477,200,-344
478,60,-93
479,36,-60
480,195,-354
481,14,-2
482,78,-75
483,79,-121
484,36,-24
485,111,-198
486,47,-35
487,110,-179
488,98,-149
489,84,-117
490,41,-65
491,137,-206
492,21,-27
493,98,-149
494,13,-1
495,17,-5
496,26,-41
497,63,-105
498,44,-59
499,86,-173
500,33,-30
501,67,-127
502,200,-407
503,50,-38
504,56,-71
505,77,-110
506,144,-213
507,103,-181
508,55,-115
509,30,-27
510,196,-301
511,96,-138
512,14,7
513,113,-173
514,24,-12
515,160,-283
516,76,-91
517,46,-34
518,80,-122
519,37,-70
520,67,-73
521,58,-118
522,49,-73
523,193,-388
524,54,-69
525,68,-56
526,15,-3
527,100,-124
528,76,-136
529,137,-242
530,21,-9
531,184,-316
532,109,-187
533,36,-42
534,166,-298
535,70,-94
536,62,-68
537,108,-177
538,9,3
539,87,-147
540,190,-385
541,118,-196
542,200,-335
543,108,-213
544,11,10
545,37,-61
546,17,-5
547,136,-241
548,26,-23
549,16,-13
550,116,-239
551,30,-36
552,200,-389
553,170,-302
554,30,-27
555,11,-17
556,131,-209
557,141,-255
558,43,-49
559,31,-28
560,103,-190
561,59,-110
562,78,-129
563,109,-187
564,53,-77
565,20,-8
566,14,7
567,138,-198
568,194,-371
569,80,-122
570,40,-28
571,128,-269
572,72,-114
573,20,-44
574,28,-25
575,56,-62
576,32,-29
577,46,-70
578,80,-113
579,62,-77
580,200,-389
581,10,-7
582,45,-60
583,117,-195
584,121,-190
585,26,-32
586,52,-94
587,100,-142
588,84,-162
589,24,-21
590,117,-213
591,21,-18
592,89,-176
593,16,-4
594,42,-39
595,200,-362
596,136,-196
597,84,-162
598,23,-38
599,68,-155
600,11,-8
601,16,-4
602,64,-79
603,195,-372
604,18,-6
605,49,-55
606,131,-200
607,46,-97
608,147,-243
609,34,-31
610,20,1
611,197,-392
612,56,-62
613,55,-97
614,24,-3
615,27,-24
616,59,-83
617,76,-127
618,156,-252
619,125,-176
620,20,-17
621,94,-181
622,8,13
623,71,-77
624,23,-11
625,49,-73
626,24,-21
627,46,-52
628,65,-107
629,46,-52
630,67,-91
631,13,8
632,143,-248
633,183,-306
634,200,-398
635,51,-66
636,111,-225
637,18,-6
638,94,-127
639,16,5
640,10,11
641,36,-60
642,10,2
643,95,-137
644,11,1
645,43,-67
646,16,5
647,24,-75
648,56,-53
649,64,-142
650,85,-136
651,33,-39
652,13,8
653,96,-156
654,85,-136
