episode,steps,return
458,183,-207
459,70,-58
460,12,0
461,139,-172
462,53,-59
463,115,-184
464,51,-48
465,66,-63
466,69,-66
467,10,2
468,34,-13
469,200,-335
470,13,8
471,44,-59
472,121,-172
473,50,-38
474,66,-90
475,78,-93
476,124,-157
477,164,-224
478,97,-130
479,14,7
480,71,-68
481,34,-31
482,41,-38
483,39,-18
484,11,-8
485,104,-119
486,102,-135
487,102,-126
488,166,-208
489,58,-55
490,47,-44
491,32,-38
492,85,-73
493,150,-174
494,8,4
495,52,-58
496,28,-7
497,48,-54
498,65,-53
499,52,-67
500,22,-19
501,144,-159
502,40,-19
503,31,-37
504,119,-170
505,122,-173
506,43,-22
507,134,-176
508,138,-171
509,22,-1
510,150,-201
511,69,-57
512,12,9
513,95,-101
514,65,-62
515,111,-117
516,120,-144
517,13,8
518,25,-13
519,32,-29
520,104,-128
521,90,-87
522,10,11
523,117,-150
524,42,-21
525,56,-62
526,12,9
527,30,-27
528,87,-111
529,61,-58
530,11,10
531,190,-196
532,40,-19
533,48,-27
534,114,-111
535,44,-32
536,59,-47
537,68,-65
538,8,13
539,124,-157
540,96,-129
541,50,-38
542,86,-110
543,67,-82
544,11,-17
545,25,-4
546,13,8
547,152,-185
548,16,5
549,51,-39
550,133,-139
551,77,-74
552,128,-143
553,200,-272
554,92,-89
555,8,13
556,41,-38
557,115,-157
558,92,-107
559,14,7
560,79,-94
561,17,4
562,130,-145
563,26,-14
564,28,-16
565,20,1
566,33,-12
567,137,-134
568,164,-215
569,33,-21
570,32,-11
571,57,-36
572,146,-161
573,10,11
574,14,7
575,93,-108
576,66,-81
577,22,-10
578,33,-21
579,46,-43
580,138,-162
581,7,14
582,67,-73
583,141,-174
584,58,-55
585,29,-8
586,55,-34
587,44,-32
588,45,-60
589,70,-85
590,85,-82
591,28,-7
592,58,-46
593,35,-23
594,32,-29
595,93,-99
596,142,-175
597,28,-7
598,65,-71
599,83,-107
600,17,-14
601,11,1
602,45,-42
603,50,-56
604,27,-6
605,25,-13
606,99,-105
607,22,-1
608,81,-87
609,34,-22
610,27,-15
611,200,-254
612,14,7
613,36,-33
614,19,-7
615,47,-44
616,10,2
617,58,-55
618,72,-78
619,38,-17
620,17,4
621,97,-85
622,12,9
623,77,-74
624,58,-91
625,48,-45
626,59,-38
627,76,-73
628,154,-169
629,56,-44
630,79,-112
631,8,13
632,117,-159
633,47,-35
634,89,-95
635,36,-24
636,23,-29
637,12,9
638,20,-8
639,10,11
640,8,13
641,58,-46
642,7,14
643,151,-184
644,11,10
645,29,-26
646,12,9
647,31,-19
648,20,1
649,75,-117
650,85,-118
651,42,-39
652,44,-41
653,41,-47
654,200,-290
655,149,-146
656,52,-49
657,89,-113
658,50,-29
659,76,-73
660,81,-105
