episode,steps,return
1,200,-578
2,200,-515
3,200,-479
4,200,-551
5,200,-515
6,200,-569
7,200,-398
8,200,-380
9,200,-434
10,200,-614
11,200,-326
12,200,-416
13,200,-560
14,200,-569
15,200,-443
16,200,-326
17,200,-254
18,200,-254
19,200,-461
20,200,-596
21,200,-272
22,200,-407
23,187,-472
24,193,-325
25,200,-353
26,200,-254
27,200,-245
28,200,-290
29,200,-380
30,200,-488
31,200,-254
32,200,-236
33,126,-159
34,200,-290
35,200,-488
36,200,-587
37,200,-299
38,130,-136
39,200,-542
40,200,-236
41,200,-461
42,200,-272
43,200,-245
44,200,-254
45,200,-290
46,200,-263
47,113,-119
48,97,-193
49,200,-236
50,200,-272
51,200,-272
52,200,-236
53,200,-389
54,200,-263
55,119,-170
56,200,-254
57,200,-272
58,200,-236
59,200,-299
60,200,-398
61,200,-254
62,200,-335
63,200,-353
64,200,-281
65,200,-299
66,200,-308
67,200,-317
68,166,-298
69,96,-75
70,200,-299
71,200,-290
72,200,-254
73,200,-308
74,200,-335
75,200,-317
76,200,-281
77,82,-70
78,200,-281
79,200,-263
80,200,-362
81,112,-181
82,200,-236
83,200,-254
84,200,-452
85,200,-299
86,200,-308
87,200,-299
88,128,-143
89,105,-93
90,200,-326
91,200,-281
92,200,-290
93,200,-281
94,200,-353
95,200,-245
96,200,-263
97,141,-156
98,200,-254
99,200,-263
100,200,-299
101,200,-290
102,200,-281
103,200,-335
104,200,-290
105,200,-380
106,200,-299
107,200,-272
108,200,-236
109,149,-218
110,200,-245
111,200,-281
112,200,-290
113,200,-299
114,89,-122
115,200,-254
116,200,-308
117,200,-317
118,151,-256
119,200,-272
120,200,-389
121,200,-308
122,200,-317
123,200,-326
124,200,-281
125,200,-254
126,200,-245
127,200,-263
128,200,-218
129,200,-272
130,200,-245
131,200,-299
132,200,-254
133,200,-380
134,200,-353
135,200,-281
136,200,-281
137,200,-272
138,200,-335
139,200,-308
140,162,-186
141,200,-281
142,200,-353
143,200,-218
144,200,-272
145,200,-362
146,200,-236
147,200,-317
148,200,-317
149,200,-317
150,200,-353
151,200,-290
152,200,-263
153,200,-371
154,200,-281
155,200,-254
156,200,-299
157,68,-74
158,200,-263
159,200,-335
160,200,-245
161,165,-198
162,200,-254
163,200,-326
164,200,-335
165,200,-290
166,200,-263
167,200,-272
168,195,-273
169,200,-290
170,200,-263
171,157,-208
172,200,-326
173,200,-272
174,200,-299
175,106,-202
176,200,-272
177,163,-223
178,200,-299
179,200,-308
180,200,-254
181,200,-335
182,200,-281
183,200,-263
184,200,-344
185,200,-281
186,39,-18
187,200,-263
188,200,-353
189,200,-272
190,200,-344
191,200,-326
192,200,-281
193,200,-299
194,55,-43
195,200,-317
196,200,-344
197,200,-245
198,200,-281
199,200,-245
200,200,-398
201,200,-299
202,200,-281
203,200,-254
204,200,-281
205,200,-245
206,200,-272
207,200,-308
208,40,-28
209,200,-308
210,118,-169
211,200,-245
212,200,-326
213,200,-281
214,200,-254
215,200,-317
216,200,-308
217,200,-281
218,200,-281
219,200,-281
220,200,-308
221,154,-223
222,200,-245
223,200,-335
224,200,-263
225,200,-254
226,200,-290
227,200,-281
228,200,-344
229,200,-308
230,200,-272
231,200,-290
232,200,-290
233,200,-245
234,200,-281
235,200,-335
236,200,-263
237,200,-299
238,200,-407
239,200,-263
240,200,-344
241,200,-263
242,200,-263
243,70,-67
244,154,-196
245,200,-317
246,200,-272
247,200,-245
248,200,-335
249,200,-290
250,93,-135
251,200,-281
252,200,-281
253,200,-344
254,200,-263
255,200,-272
256,200,-263
257,200,-227
258,200,-317
259,200,-272
260,200,-290
261,200,-263
262,200,-299
263,132,-147
264,200,-371
265,200,-290
266,168,-174
267,200,-344
268,200,-326
269,200,-281
270,200,-299
271,200,-290
272,200,-326
273,200,-308
274,200,-263
275,200,-290
276,200,-299
277,200,-254
278,200,-245
279,200,-281
280,43,-40
281,200,-245
282,200,-290
283,200,-263
284,200,-335
285,200,-272
286,200,-299
287,200,-290
288,200,-281
289,200,-317
290,121,-136
291,200,-290
292,200,-242
293,200,-272
294,200,-281
295,200,-299
296,200,-281
297,200,-290
298,200,-281
299,135,-132
300,200,-308
301,200,-272
302,118,-115
303,200,-290
304,200,-281
305,200,-308
306,200,-308
307,200,-299
308,200,-281
309,200,-389
310,200,-281
311,200,-290
312,200,-317
313,116,-140
314,200,-308
315,200,-290
316,200,-236
317,198,-249
318,200,-263
319,200,-281
320,200,-308
321,200,-299
322,200,-407
323,200,-299
324,200,-281
325,200,-272
326,200,-227
327,200,-326
328,200,-254
329,200,-218
330,200,-290
331,200,-281
332,200,-281
333,49,-46
334,179,-221
335,200,-281
336,200,-434
337,200,-317
338,200,-290
339,200,-317
340,200,-272
341,200,-290
342,200,-299
343,200,-317
344,200,-254
345,200,-308
346,200,-227
347,200,-245
348,200,-335
349,200,-263
350,200,-263
351,200,-245
352,200,-281
353,200,-335
354,200,-263
355,200,-263
356,200,-326
357,200,-299
358,200,-254
359,200,-272
360,200,-263
361,200,-263
362,200,-254
363,200,-290
