episode,steps,return
464,11,10
465,30,-18
466,18,3
467,9,12
468,16,5
469,62,-50
470,7,14
471,23,-20
472,26,-14
473,13,8
474,23,-2
475,26,-14
476,31,-28
477,57,-54
478,51,-30
479,11,10
480,63,-69
481,10,2
482,15,6
483,12,9
484,11,10
485,16,5
486,68,-56
487,56,-71
488,10,11
489,65,-62
490,49,-28
491,14,-11
492,13,-1
493,119,-116
494,10,2
495,12,9
496,11,10
497,46,-52
498,18,-15
499,21,0
500,20,-26
501,18,3
502,31,-10
503,14,-2
504,16,-13
505,38,-62
506,12,0
507,28,-16
508,103,-127
509,28,-7
510,79,-58
511,49,-46
512,11,10
513,63,-60
514,37,-25
515,32,-20
516,44,-32
517,10,2
518,34,-22
519,31,-19
520,15,-12
521,18,3
522,21,0
523,26,-5
524,15,6
525,22,-10
526,12,9
527,28,-7
528,45,-42
529,69,-75
530,10,11
531,72,-69
532,12,9
533,17,4
534,58,-55
535,49,-46
536,14,-2
537,30,-18
538,10,11
539,90,-96
540,15,6
541,29,-35
542,59,-74
543,16,5
544,8,13
545,14,7
546,14,7
547,22,-1
548,12,0
549,11,10
550,22,-10
551,18,3
552,24,-3
553,65,-80
554,15,6
555,8,13
556,18,-15
557,35,-32
558,41,-29
559,15,-3
560,21,0
561,16,-13
562,16,5
563,17,4
564,14,7
565,10,11
566,10,11
567,22,-10
568,93,-81
569,25,-13
570,27,-15
571,33,-21
572,17,-5
573,10,11
574,19,-7
575,53,-50
576,15,6
577,16,5
578,16,5
579,14,7
580,80,-122
581,7,14
582,25,-13
583,28,-7
584,27,-6
585,13,8
586,31,-19
587,47,-44
588,12,9
589,25,-22
590,25,-4
591,16,-13
592,91,-97
593,22,-1
594,12,0
595,50,-38
596,32,-38
597,24,-3
598,12,9
599,19,-7
600,10,2
601,17,-23
602,22,-1
603,45,-33
604,12,9
605,12,0
606,45,-33
607,14,-2
608,16,-13
609,17,-14
610,12,9
611,36,-15
612,19,2
613,14,-11
614,13,8
615,23,-2
616,8,13
617,57,-36
618,23,-2
